id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
0	-	28, 61, 281, 297, 301, 404, 578, 643, 680, 785, 927, 1039, 1160, 1165, 1172, 1196, 1214, 1254, 1265, 1314, 1479, 1499, 1533, 
1	-	49, 75, 152, 154, 163, 191, 225, 233, 237, 309, 388, 415, 481, 526, 623, 691, 694, 726, 739, 747, 802, 904, 963, 988, 1136, 1357, 1374, 1415, 1529, 
2	-	33, 165, 192, 272, 315, 399, 456, 509, 510, 571, 683, 701, 779, 1152, 1213, 1351, 1364, 1394, 1399, 1407, 1502, 
3	-	32, 49, 54, 85, 115, 146, 233, 235, 323, 373, 441, 446, 599, 602, 970, 992, 1106, 1177, 1272, 1313, 1424, 1456, 
4	-	101, 152, 154, 165, 192, 253, 263, 288, 315, 386, 509, 545, 668, 674, 683, 747, 779, 856, 921, 1051, 1104, 1166, 1198, 1223, 1239, 1256, 1259, 1273, 1394, 1399, 1416, 1450, 1502, 
5	-	17, 126, 207, 208, 228, 304, 340, 380, 447, 501, 515, 582, 598, 646, 697, 708, 821, 909, 1090, 1173, 1253, 1295, 1392, 1395, 1410, 1459, 1467, 1520, 1527, 
6	-	93, 122, 203, 219, 234, 256, 490, 539, 553, 567, 626, 637, 765, 771, 884, 895, 899, 1005, 1176, 1189, 1242, 1292, 1361, 1373, 1378, 1381, 1524, 
7	-	16, 105, 124, 132, 143, 178, 222, 273, 322, 360, 445, 480, 494, 495, 530, 628, 671, 741, 769, 813, 869, 881, 999, 1059, 1091, 1145, 1179, 1222, 1316, 1324, 1334, 1368, 1440, 1491, 1513, 1525, 
8	-	12, 118, 180, 339, 392, 395, 419, 484, 499, 616, 685, 738, 859, 873, 910, 926, 975, 985, 1033, 1038, 1158, 1209, 1248, 1306, 1504, 
9	-	55, 100, 164, 213, 215, 216, 229, 243, 247, 292, 298, 345, 377, 424, 693, 1050, 1068, 1072, 1124, 1155, 1175, 1229, 1276, 1284, 1299, 1355, 1421, 1478, 
10	-	84, 269, 426, 489, 523, 1061, 1194, 1359, 1365, 1384, 
11	-	80, 93, 95, 122, 210, 219, 221, 256, 308, 338, 357, 408, 409, 448, 453, 482, 488, 529, 539, 553, 567, 775, 960, 1108, 1162, 1189, 1230, 1262, 1361, 1363, 1373, 1434, 
12	-	8, 21, 41, 180, 183, 313, 339, 392, 395, 419, 499, 616, 634, 713, 792, 808, 873, 910, 926, 975, 985, 1024, 1033, 1038, 1158, 1190, 1248, 1306, 1451, 1504, 1505, 
13	-	90, 238, 269, 328, 489, 604, 722, 733, 887, 911, 1203, 1282, 1311, 1321, 1359, 
14	-	64, 73, 86, 137, 284, 334, 376, 425, 591, 639, 759, 890, 896, 1026, 1047, 1076, 1140, 1484, 1498, 1507, 1521, 
15	-	27, 74, 135, 184, 187, 205, 331, 385, 400, 476, 711, 830, 842, 854, 959, 972, 1042, 1083, 1132, 1247, 1275, 1348, 1351, 1369, 
16	-	7, 105, 143, 389, 397, 402, 403, 494, 495, 538, 569, 628, 671, 757, 813, 869, 978, 1091, 1145, 1179, 1222, 1271, 1324, 1334, 1368, 1404, 1420, 1491, 
17	-	5, 22, 38, 169, 207, 208, 304, 341, 342, 358, 363, 380, 447, 501, 515, 658, 682, 697, 821, 864, 909, 918, 943, 945, 1173, 1413, 1437, 1459, 1467, 1496, 
18	-	51, 276, 352, 393, 556, 698, 721, 849, 889, 942, 948, 1217, 1310, 1319, 1340, 1370, 
19	-	40, 123, 127, 147, 172, 199, 204, 366, 431, 460, 504, 579, 766, 815, 916, 950, 966, 1006, 1025, 1099, 1102, 1115, 1276, 1284, 1396, 1514, 
20	-	116, 139, 159, 200, 226, 493, 524, 546, 632, 662, 696, 807, 958, 1003, 1100, 1153, 1180, 1235, 1238, 1250, 1288, 1390, 1474, 1497, 
21	-	12, 41, 79, 85, 180, 183, 313, 317, 346, 395, 419, 478, 499, 616, 634, 780, 792, 808, 873, 910, 926, 928, 975, 985, 992, 1024, 1033, 1038, 1048, 1062, 1150, 1190, 1272, 1388, 1405, 1451, 1455, 1504, 1505, 
22	-	17, 110, 126, 151, 169, 207, 208, 314, 342, 421, 501, 515, 517, 576, 658, 682, 729, 821, 888, 909, 918, 943, 969, 1185, 1211, 1413, 1518, 
23	-	239, 281, 297, 301, 354, 444, 449, 464, 506, 541, 578, 652, 680, 753, 823, 922, 927, 936, 941, 983, 1039, 1045, 1196, 1206, 1234, 1263, 1265, 1429, 1499, 1533, 
24	-	40, 45, 83, 123, 266, 274, 330, 347, 371, 405, 479, 504, 579, 777, 794, 857, 916, 966, 1006, 1016, 1025, 1099, 1146, 1232, 1320, 1396, 1408, 1514, 
25	-	33, 67, 189, 297, 353, 354, 398, 399, 452, 464, 510, 541, 557, 607, 652, 681, 753, 823, 927, 941, 983, 1020, 1206, 1213, 
26	-	51, 93, 99, 210, 221, 276, 338, 352, 409, 482, 488, 849, 872, 889, 942, 1215, 1233, 1240, 1310, 1340, 1363, 1433, 
27	-	15, 67, 74, 130, 187, 383, 385, 398, 452, 607, 650, 681, 845, 959, 972, 993, 1135, 1192, 1247, 1258, 1348, 1354, 1369, 1509, 
28	-	0, 61, 189, 344, 404, 525, 528, 582, 587, 643, 680, 701, 930, 1097, 1160, 1165, 1196, 1214, 1265, 1314, 1411, 1479, 1499, 
29	-	108, 111, 160, 175, 176, 249, 250, 505, 508, 565, 592, 613, 684, 923, 949, 980, 1034, 1109, 1111, 1113, 1122, 1127, 1139, 1178, 1207, 1290, 1323, 1375, 1516, 
30	-	38, 98, 177, 268, 290, 341, 454, 458, 467, 672, 735, 820, 831, 835, 850, 920, 939, 1000, 1069, 1200, 1205, 1437, 1496, 1532, 
31	-	78, 217, 265, 310, 485, 507, 531, 536, 715, 742, 760, 769, 801, 919, 987, 1028, 1143, 1330, 1414, 1468, 1490, 1512, 
32	-	3, 49, 54, 85, 115, 146, 230, 233, 235, 313, 317, 323, 373, 478, 602, 897, 970, 992, 1106, 1177, 1272, 1313, 1505, 
33	-	2, 25, 187, 272, 353, 354, 398, 399, 452, 456, 510, 541, 571, 701, 753, 1083, 1152, 1213, 1351, 1364, 1407, 
34	-	162, 372, 428, 469, 472, 511, 570, 618, 624, 648, 687, 712, 731, 778, 875, 1092, 1227, 1360, 
35	-	92, 109, 149, 153, 188, 193, 202, 264, 367, 401, 459, 471, 552, 563, 644, 656, 832, 976, 986, 1002, 1210, 1280, 1296, 1305, 1345, 1358, 1376, 
36	-	46, 193, 242, 245, 316, 337, 368, 394, 492, 513, 534, 551, 659, 746, 836, 865, 974, 995, 1027, 1121, 1201, 1212, 1466, 1531, 
37	-	58, 136, 182, 259, 324, 375, 411, 420, 451, 477, 574, 647, 737, 862, 879, 880, 932, 946, 973, 1085, 1112, 1385, 1480, 
38	-	17, 30, 50, 82, 177, 268, 304, 341, 358, 363, 447, 697, 735, 820, 831, 850, 864, 909, 971, 1000, 1079, 1392, 1437, 1459, 1467, 1485, 1496, 
39	-	185, 277, 282, 293, 332, 333, 361, 392, 429, 442, 484, 555, 716, 738, 810, 859, 870, 929, 1011, 1035, 1209, 1226, 1245, 1286, 1306, 1443, 
