id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
901	-	428, 706, 248, 1482, 1019, 232, 750, 570, 648, 469, 474, 511, 1092, 624, 1535, 791, 899, 1176, 1005, 1378, 637, 203, 1292, 1381, 588, 490, 951, 665, 
570	-	428, 875, 34, 778, 1360, 712, 935, 462, 709, 901, 648, 469, 474, 511, 1092, 791, 588, 162, 1170, 1053, 1329, 1341, 279, 490, 
648	-	618, 428, 472, 875, 34, 731, 706, 248, 1482, 1183, 232, 750, 575, 125, 548, 1380, 410, 466, 690, 614, 952, 901, 570, 469, 511, 1092, 624, 
469	-	428, 875, 34, 731, 706, 248, 1482, 1019, 232, 750, 575, 125, 1380, 410, 614, 952, 901, 570, 648, 474, 511, 1092, 624, 1535, 791, 1378, 637, 
474	-	1482, 232, 750, 901, 570, 469, 511, 1092, 624, 1535, 791, 899, 1176, 1005, 234, 1378, 637, 203, 1292, 895, 1381, 588, 490, 1071, 951, 665, 
511	-	1227, 428, 875, 34, 778, 731, 1360, 712, 706, 248, 1482, 232, 750, 410, 614, 952, 901, 570, 648, 469, 474, 1092, 624, 1535, 791, 588, 162, 1341, 
1092	-	428, 875, 34, 778, 731, 1360, 712, 248, 232, 750, 614, 952, 901, 570, 648, 469, 474, 511, 624, 1535, 791, 637, 588, 162, 1170, 1053, 1341, 
624	-	428, 34, 706, 44, 248, 1482, 1019, 784, 232, 750, 125, 1380, 614, 952, 901, 648, 469, 474, 511, 1092, 1535, 791, 1378, 637, 588, 665, 
1535	-	706, 44, 248, 1482, 1019, 232, 750, 901, 469, 474, 511, 1092, 624, 791, 899, 1176, 1005, 1378, 637, 1292, 1381, 588, 1071, 951, 665, 
791	-	428, 1360, 901, 570, 469, 474, 511, 1092, 624, 1535, 1176, 1378, 637, 203, 1292, 1381, 588, 162, 1170, 1053, 1341, 1524, 799, 279, 490, 771, 
618	-	648, 486, 1095, 372, 520, 280, 1023, 1126, 687, 548, 410, 466, 690, 614, 240, 861, 254, 846, 1010, 1227, 428, 472, 875, 34, 778, 731, 727, 1191, 
1227	-	511, 486, 1095, 372, 280, 1023, 1126, 687, 713, 806, 466, 690, 618, 428, 472, 875, 34, 778, 731, 162, 727, 1360, 712, 935, 1191, 462, 
428	-	901, 570, 648, 469, 511, 1092, 624, 791, 410, 690, 614, 952, 618, 1227, 472, 875, 34, 778, 731, 162, 1341, 1360, 712, 462, 248, 232, 750, 
472	-	648, 486, 1095, 372, 280, 1023, 687, 548, 1380, 379, 410, 466, 690, 542, 614, 952, 240, 861, 254, 434, 1010, 618, 1227, 428, 875, 34, 731, 
875	-	570, 648, 469, 511, 1092, 372, 280, 1023, 687, 410, 466, 690, 614, 618, 1227, 428, 472, 34, 778, 731, 162, 727, 1360, 712, 935, 1191, 462, 
34	-	570, 648, 469, 511, 1092, 624, 372, 687, 548, 1380, 410, 466, 690, 614, 952, 618, 1227, 428, 472, 875, 778, 731, 162, 1360, 712, 248, 232, 
778	-	570, 511, 1092, 280, 1023, 806, 618, 1227, 428, 875, 34, 731, 162, 1170, 1053, 1329, 1341, 727, 1360, 1159, 712, 935, 1191, 462, 1123, 1147, 709, 793, 
731	-	648, 469, 511, 1092, 486, 372, 280, 1023, 687, 548, 410, 466, 690, 614, 952, 254, 618, 1227, 428, 472, 875, 34, 778, 1191, 248, 
486	-	618, 1227, 472, 731, 1186, 1447, 667, 161, 1462, 240, 861, 254, 953, 846, 1010, 1095, 372, 520, 280, 1023, 1126, 335, 687, 1530, 727, 1191, 713, 806, 466, 690, 
1095	-	618, 1227, 472, 1186, 1293, 1447, 905, 817, 667, 161, 1462, 1031, 1465, 1158, 240, 861, 254, 804, 953, 846, 1010, 670, 486, 372, 520, 280, 1023, 1126, 335, 687, 1530, 1191, 713, 806, 
372	-	618, 1227, 472, 875, 34, 731, 667, 240, 861, 254, 434, 804, 953, 846, 1010, 486, 1095, 520, 280, 1023, 335, 687, 1530, 548, 410, 466, 690, 542, 
520	-	618, 1186, 1293, 1447, 905, 817, 667, 161, 1462, 1031, 1465, 118, 1158, 861, 254, 804, 953, 846, 1010, 670, 486, 1095, 372, 280, 1023, 1126, 335, 687, 1530, 713, 
280	-	618, 1227, 472, 875, 778, 731, 1447, 161, 1462, 254, 486, 1095, 372, 520, 1023, 1126, 335, 687, 1530, 727, 1191, 713, 395, 1455, 1451, 180, 806, 873, 1190, 926, 
1023	-	618, 1227, 472, 875, 778, 731, 1447, 161, 486, 1095, 372, 520, 280, 1126, 335, 687, 1530, 727, 1191, 713, 395, 1455, 1451, 180, 806, 873, 1190, 926, 
1126	-	618, 1227, 1447, 161, 1462, 1158, 486, 1095, 520, 280, 1023, 335, 687, 1530, 727, 1191, 183, 499, 713, 975, 395, 1455, 1038, 1451, 180, 806, 873, 1190, 926, 
335	-	803, 1186, 1293, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 1158, 240, 861, 254, 804, 953, 846, 1010, 670, 486, 1095, 372, 520, 280, 1023, 1126, 687, 1530, 713, 
687	-	618, 1227, 472, 875, 34, 731, 240, 861, 254, 953, 846, 1010, 486, 1095, 372, 520, 280, 1023, 1126, 335, 1530, 1191, 548, 410, 466, 690, 
1530	-	1186, 1293, 1447, 905, 817, 667, 161, 1462, 1031, 1465, 118, 1158, 1248, 861, 254, 846, 670, 486, 1095, 372, 520, 280, 1023, 1126, 335, 687, 713, 1451, 180, 806, 873, 1190, 926, 
803	-	335, 1307, 929, 106, 670, 1080, 816, 413, 178, 271, 1186, 1293, 141, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 
1186	-	486, 1095, 520, 335, 1530, 670, 190, 816, 803, 1293, 141, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 1158, 861, 254, 804, 953, 846, 1010, 
1293	-	1095, 520, 335, 1530, 670, 816, 803, 1186, 141, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 713, 1158, 1248, 484, 846, 
141	-	282, 1307, 1226, 929, 106, 442, 1286, 738, 670, 816, 271, 803, 1186, 1293, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 1158, 1248, 484, 
1447	-	486, 1095, 520, 280, 1023, 1126, 335, 1530, 670, 1186, 1293, 141, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 713, 873, 926, 1158, 1248, 484, 861, 254, 846, 
905	-	1095, 520, 335, 1530, 670, 816, 803, 1186, 1293, 141, 1447, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 1158, 1248, 484, 861, 804, 846, 
817	-	1095, 520, 335, 1530, 670, 816, 803, 1186, 1293, 141, 1447, 905, 667, 1303, 161, 1462, 1517, 1031, 1465, 118, 1158, 861, 254, 804, 953, 846, 1010, 
667	-	486, 1095, 372, 520, 335, 1530, 670, 190, 816, 803, 1186, 1293, 141, 1447, 905, 817, 1303, 161, 1462, 1517, 1031, 1465, 118, 240, 861, 254, 827, 804, 953, 846, 1010, 
1303	-	335, 1307, 1226, 929, 106, 442, 670, 816, 413, 271, 803, 1186, 1293, 141, 1447, 905, 817, 667, 161, 1462, 1517, 1031, 1465, 118, 484, 
161	-	486, 1095, 520, 280, 1023, 1126, 335, 1530, 670, 803, 1186, 1293, 141, 1447, 905, 817, 667, 1303, 1462, 1517, 1031, 1465, 118, 713, 873, 926, 1158, 1248, 484, 861, 254, 846, 
1462	-	486, 1095, 520, 280, 1126, 335, 1530, 670, 803, 1186, 1293, 141, 1447, 905, 817, 667, 1303, 161, 1517, 1031, 1465, 118, 713, 975, 395, 180, 873, 926, 1158, 1248, 484, 846, 
1517	-	335, 1307, 1226, 929, 106, 442, 1286, 670, 816, 271, 803, 1186, 1293, 141, 1447, 905, 817, 667, 1303, 161, 1462, 1031, 1465, 118, 1158, 1248, 484, 
1031	-	1095, 520, 335, 1530, 442, 670, 816, 271, 803, 1186, 1293, 141, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1465, 118, 1158, 1248, 484, 846, 
1465	-	1095, 520, 335, 1530, 442, 670, 803, 1186, 1293, 141, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 118, 713, 1158, 1248, 484, 846, 
118	-	520, 335, 1530, 1226, 929, 442, 1286, 738, 670, 803, 1186, 1293, 141, 1447, 905, 817, 667, 1303, 161, 1462, 1517, 1031, 1465, 1158, 8, 1248, 484, 1033, 392, 
870	-	710, 1515, 328, 655, 62, 144, 455, 1245, 1035, 361, 555, 810, 716, 1244, 282, 1307, 1226, 929, 106, 442, 39, 1443, 1011, 1286, 333, 277, 738, 
1244	-	604, 710, 1515, 655, 62, 144, 455, 1245, 716, 413, 271, 63, 900, 870, 282, 1307, 1226, 929, 106, 442, 1286, 333, 
282	-	141, 710, 1515, 328, 655, 62, 144, 455, 1245, 555, 810, 716, 413, 271, 870, 1244, 1307, 1226, 929, 106, 442, 484, 39, 1443, 1011, 1286, 333, 277, 738, 
1307	-	803, 141, 1303, 1517, 710, 1515, 655, 62, 144, 455, 1245, 413, 745, 212, 1224, 271, 63, 900, 870, 1244, 282, 1226, 929, 106, 442, 816, 
1226	-	141, 1303, 1517, 118, 710, 1515, 655, 62, 144, 455, 1245, 555, 716, 413, 271, 870, 1244, 282, 1307, 929, 106, 442, 484, 39, 1443, 1011, 1286, 333, 738, 
929	-	803, 141, 1303, 1517, 118, 710, 1515, 655, 62, 144, 455, 1245, 555, 716, 413, 271, 870, 1244, 282, 1307, 1226, 106, 442, 484, 39, 1443, 1011, 1286, 333, 738, 
106	-	803, 141, 1303, 1517, 710, 1515, 655, 62, 144, 455, 1245, 716, 413, 271, 63, 900, 870, 1244, 282, 1307, 1226, 929, 442, 1286, 333, 738, 
442	-	141, 1303, 1517, 1031, 1465, 118, 62, 455, 1245, 716, 870, 1244, 282, 1307, 1226, 929, 106, 1248, 484, 392, 39, 1443, 1011, 1286, 333, 738, 
604	-	1244, 1321, 1359, 13, 269, 238, 90, 59, 767, 63, 841, 900, 1353, 710, 733, 1515, 328, 655, 62, 1311, 144, 455, 1245, 1282, 911, 
710	-	870, 1244, 282, 1307, 1226, 929, 106, 63, 900, 604, 733, 1515, 328, 655, 62, 1311, 144, 455, 1245, 1443, 1011, 1286, 333, 1282, 555, 810, 716, 911, 413, 
733	-	1321, 1359, 13, 269, 722, 238, 90, 1203, 59, 767, 63, 1353, 604, 710, 1515, 328, 655, 62, 1311, 144, 455, 1245, 1282, 911, 
1515	-	870, 1244, 282, 1307, 1226, 929, 106, 59, 1487, 767, 63, 841, 878, 900, 1353, 604, 710, 733, 328, 655, 62, 1311, 144, 455, 1245, 716, 413, 
328	-	870, 282, 1321, 13, 722, 238, 90, 1203, 604, 710, 733, 1515, 655, 62, 1311, 144, 455, 1245, 1443, 1011, 333, 277, 1282, 1035, 361, 555, 810, 716, 911, 
655	-	870, 1244, 282, 1307, 1226, 929, 106, 59, 767, 63, 841, 900, 604, 710, 733, 1515, 328, 62, 1311, 144, 455, 1245, 333, 716, 413, 271, 
62	-	870, 1244, 282, 1307, 1226, 929, 106, 442, 63, 900, 604, 710, 733, 1515, 328, 655, 1311, 144, 455, 1245, 1443, 1011, 1286, 333, 555, 810, 716, 911, 413, 
1311	-	1321, 13, 722, 238, 90, 1060, 887, 1203, 604, 710, 733, 1515, 328, 655, 62, 144, 1245, 1282, 555, 810, 716, 911, 
144	-	870, 1244, 282, 1307, 1226, 929, 106, 59, 767, 63, 900, 604, 710, 733, 1515, 328, 655, 62, 1311, 455, 1245, 333, 555, 810, 716, 413, 271, 
455	-	870, 1244, 282, 1307, 1226, 929, 106, 442, 63, 900, 604, 710, 733, 1515, 328, 655, 62, 144, 1245, 1286, 333, 555, 716, 413, 271, 
1245	-	870, 1244, 282, 1307, 1226, 929, 106, 442, 604, 710, 733, 1515, 328, 655, 62, 1311, 144, 455, 39, 1443, 1011, 1286, 333, 277, 738, 1282, 1035, 361, 555, 810, 716, 911, 
1321	-	604, 733, 328, 1311, 1194, 1384, 1012, 649, 1359, 13, 489, 269, 1282, 911, 245, 722, 238, 1531, 90, 1060, 887, 1203, 
1359	-	604, 733, 84, 1384, 10, 88, 1353, 257, 512, 707, 795, 255, 1246, 430, 586, 1402, 1471, 603, 734, 1321, 13, 489, 269, 767, 
13	-	604, 733, 328, 1311, 1353, 1321, 1359, 489, 269, 1282, 911, 722, 238, 90, 887, 1203, 767, 
489	-	1061, 426, 523, 1365, 1194, 84, 1384, 10, 649, 1353, 257, 512, 707, 795, 255, 1246, 430, 586, 1402, 1471, 603, 734, 1321, 1359, 13, 269, 767, 
269	-	604, 733, 1194, 84, 1384, 10, 88, 1353, 257, 512, 707, 795, 255, 1246, 430, 1402, 1471, 603, 734, 1321, 1359, 13, 489, 767, 
1061	-	489, 296, 114, 1331, 1304, 174, 819, 103, 426, 523, 1365, 1194, 84, 1384, 286, 10, 513, 422, 1012, 995, 649, 46, 
426	-	489, 296, 114, 1331, 1304, 174, 819, 103, 1061, 523, 1365, 1194, 84, 1384, 286, 10, 422, 1012, 649, 46, 
523	-	489, 369, 1319, 296, 114, 1331, 1346, 1304, 174, 819, 1339, 596, 255, 586, 1402, 1403, 1471, 1444, 590, 133, 615, 364, 1431, 1061, 426, 1365, 1194, 84, 1384, 286, 10, 422, 1012, 649, 
1365	-	489, 296, 114, 1331, 1304, 174, 819, 103, 596, 255, 1444, 1061, 426, 523, 1194, 84, 1384, 286, 10, 422, 1012, 649, 46, 
1194	-	1321, 489, 269, 296, 1331, 1304, 174, 1061, 426, 523, 1365, 84, 1384, 286, 10, 245, 1531, 1203, 513, 422, 1012, 995, 649, 46, 
84	-	1359, 489, 269, 1319, 296, 114, 1331, 1346, 1304, 596, 255, 1246, 430, 586, 1402, 1403, 1471, 603, 1444, 590, 133, 615, 364, 1431, 1061, 426, 523, 1365, 1194, 1384, 286, 10, 422, 1012, 649, 
1384	-	1321, 1359, 489, 269, 296, 1331, 1304, 174, 596, 255, 1402, 1471, 1444, 1061, 426, 523, 1365, 1194, 84, 286, 10, 422, 1012, 649, 
286	-	296, 114, 1331, 1304, 174, 819, 789, 103, 1339, 1061, 426, 523, 1365, 1194, 84, 1384, 513, 422, 1012, 995, 649, 46, 
10	-	1359, 489, 269, 596, 255, 1246, 430, 586, 1402, 1403, 1469, 1471, 603, 734, 1444, 590, 133, 615, 364, 1061, 426, 523, 1365, 1194, 84, 1384, 257, 512, 707, 795, 
393	-	1310, 18, 948, 51, 698, 556, 721, 1217, 491, 1308, 1117, 1431, 1283, 369, 1319, 1370, 114, 1331, 1346, 1304, 819, 789, 1339, 
369	-	523, 948, 698, 556, 721, 1217, 491, 1117, 1431, 393, 1319, 296, 1370, 114, 1331, 1346, 1304, 113, 174, 819, 789, 103, 1339, 
1319	-	523, 84, 18, 948, 698, 721, 1217, 491, 893, 1523, 752, 1308, 590, 133, 1195, 615, 1117, 364, 1431, 1283, 393, 369, 296, 1370, 114, 1331, 1346, 1304, 1339, 596, 1403, 1444, 
296	-	1061, 426, 523, 1365, 1194, 84, 1384, 286, 1431, 369, 1319, 1370, 114, 1331, 1346, 1304, 422, 1012, 649, 113, 174, 819, 789, 103, 1339, 596, 
1370	-	1310, 18, 948, 698, 556, 721, 1217, 352, 1386, 491, 1117, 1431, 393, 369, 1319, 296, 114, 1331, 1346, 1304, 811, 113, 174, 819, 789, 103, 1339, 
114	-	1061, 426, 523, 1365, 84, 286, 948, 698, 721, 1217, 491, 1308, 590, 133, 615, 1117, 1431, 393, 369, 1319, 296, 1370, 1331, 1346, 1304, 174, 819, 789, 103, 1339, 596, 
1331	-	1061, 426, 523, 1365, 1194, 84, 1384, 286, 1431, 393, 369, 1319, 296, 1370, 114, 1346, 1304, 422, 1012, 995, 649, 113, 174, 819, 789, 103, 1339, 
1346	-	523, 84, 948, 698, 556, 721, 1217, 491, 1308, 590, 133, 1117, 1431, 1283, 393, 369, 1319, 296, 1370, 114, 1331, 1304, 174, 819, 789, 103, 1339, 596, 
1304	-	1061, 426, 523, 1365, 1194, 84, 1384, 286, 1431, 393, 369, 1319, 296, 1370, 114, 1331, 1346, 422, 1012, 649, 113, 174, 819, 789, 103, 1339, 596, 
1310	-	393, 1370, 872, 889, 1340, 1233, 26, 1240, 849, 942, 221, 1015, 871, 1283, 370, 18, 948, 51, 698, 276, 556, 1215, 721, 1217, 352, 537, 1182, 
18	-	393, 1319, 1370, 889, 1340, 849, 942, 1435, 787, 1015, 871, 1074, 1174, 1283, 370, 1352, 940, 1310, 948, 51, 698, 276, 556, 721, 1217, 352, 491, 1523, 1308, 1117, 
948	-	393, 369, 1319, 1370, 114, 1346, 1015, 871, 1283, 1310, 18, 51, 698, 276, 556, 721, 1217, 491, 1523, 752, 1308, 1117, 1431, 
51	-	393, 99, 872, 889, 1340, 1233, 26, 1240, 849, 942, 1433, 221, 1435, 1015, 871, 1283, 370, 790, 289, 1352, 940, 1310, 18, 948, 698, 276, 556, 1215, 721, 1217, 352, 537, 
698	-	393, 369, 1319, 1370, 114, 1346, 849, 942, 1015, 871, 1283, 1310, 18, 948, 51, 276, 556, 1215, 721, 1217, 352, 1339, 537, 491, 1308, 1117, 
276	-	99, 872, 889, 1340, 1233, 26, 1240, 849, 942, 1433, 221, 1435, 1015, 871, 370, 790, 532, 885, 289, 1352, 1391, 940, 1310, 18, 948, 51, 698, 556, 1215, 721, 1217, 352, 
556	-	393, 369, 1370, 1346, 889, 849, 942, 221, 1310, 18, 948, 51, 698, 276, 1215, 721, 1217, 352, 537, 1182, 
1215	-	872, 889, 482, 26, 1240, 849, 942, 1433, 221, 409, 210, 453, 1208, 1363, 338, 488, 1310, 51, 698, 276, 556, 721, 352, 537, 1182, 638, 
721	-	393, 369, 1319, 1370, 114, 1346, 849, 942, 1015, 871, 1283, 370, 1310, 18, 948, 51, 698, 276, 556, 1215, 1217, 352, 491, 1308, 1117, 1431, 
1217	-	393, 369, 1319, 1370, 114, 1346, 1015, 871, 1074, 1283, 1310, 18, 948, 51, 698, 276, 556, 721, 491, 893, 1523, 752, 1308, 590, 133, 1117, 1431, 
352	-	1370, 872, 889, 26, 1240, 849, 942, 221, 210, 453, 1208, 338, 1310, 18, 51, 698, 276, 556, 1215, 721, 537, 1182, 638, 
99	-	51, 276, 93, 370, 790, 885, 289, 1391, 940, 621, 260, 794, 755, 1193, 1264, 872, 889, 1340, 1233, 482, 26, 1240, 849, 942, 1433, 221, 409, 338, 
