0
<<<<<<< HEAD
0.008755 0.049499 345.1494
0.035007 0.081326 81.64
0.048495 0.033415 100.2485
0.07889 0.05748 246.1023
0.022632 0.082948 188.599
0.058506 0.031943 61.6549
0.043667 0.085057 228.0268
0.082148 0.059463 188.5708
0.036573 0.038524 333.8803
0.022419 0.063687 43.3076
0.005101 0.067144 36.0325
0.083174 0.01356 325.1994
0.078512 0.005566 208.9553
0.009007 0.017853 317.6458
0.037536 0.067824 321.5891
0.013537 0.058459 150.7548
0.004761 0.084659 80.646
0.012712 0.006686 188.7971
0.065288 0.009601 83.1481
0.069395 0.080546 14.469
0.007512 0.060864 303.3106
0.045169 0.041989 44.7172
0.01397 0.070505 210.0495
0.024428 0.043699 348.0317
0.024841 0.06181 104.6397
0.05699 0.083888 265.8743
0.07196 0.022385 273.1293
0.073844 0.047987 285.0664
0.054516 0.019691 305.7908
0.061576 0.019497 197.0622
0.058128 0.048224 79.9023
0.037031 0.064676 326.386
0.009871 0.039861 81.9783
0.082507 0.050741 64.8761
0.00649 0.008343 56.9201
0.019885 0.049575 44.8795
0.043404 0.045193 30.765
0.028143 0.017041 65.7793
0.036422 0.07744 293.7519
0.071552 0.057524 9.8263
0.031808 0.055258 144.7462
0.06812 0.01474 104.4249
0.033322 0.065006 173.9028
0.019921 0.022588 20.211
0.01248 0.077574 33.9071
0.053477 0.075932 302.7665
0.072511 0.066111 175.1203
0.023989 0.011973 146.2394
0.067855 0.0179 158.2597
0.079415 0.067089 281.6632
0.014348 0.085008 140.7019
0.033589 0.043199 15.7482
0.023414 0.019389 293.2727
0.064178 0.015987 212.8289
0.02728 0.045256 207.011
0.007855 0.020671 333.6432
0.010851 0.011983 206.4014
0.043308 0.014618 116.0339
0.027966 0.079046 222.7481
0.027085 0.029914 240.8619
0.081091 0.034876 14.017
0.037919 0.083843 153.2454
0.024172 0.047508 275.0177
0.039723 0.03402 58.8315
0.047315 0.009932 141.0036
0.083537 0.053966 146.8246
0.053273 0.014869 289.0016
0.058498 0.05292 249.3651
0.075481 0.054744 333.1596
0.037976 0.073976 200.6239
0.075955 0.076234 158.4394
0.039562 0.058964 198.4331
0.048569 0.037049 159.3723
0.061599 0.062953 180.7445
0.04606 0.052376 249.5754
0.009737 0.065871 212.2177
0.039967 0.009693 276.3336
0.084165 0.073624 236.1878
0.031357 0.074416 205.4271
0.041362 0.079334 240.5748
0.059582 0.028252 332.5211
0.018411 0.046046 26.0329
0.008304 0.031995 31.8099
0.00998 0.028226 167.7152
0.079316 0.014585 153.3931
0.013983 0.030095 102.6593
0.053128 0.08048 126.0838
0.064586 0.085392 71.13
