L = 0.03
0.3729 0.0098 0.0000
0.4598 0.0099 0.0000
0.5056 0.0100 0.0000
0.5188 0.0098 0.0000
0.5723 0.0150 0.0000
0.5750 0.0109 0.0000
0.5904 0.0128 0.0000
0.6295 0.0098 0.0000
0.6464 0.0122 0.0000
0.6584 0.0094 0.0000
0.6612 0.0087 0.0000
0.6637 0.0056 0.0000
0.7000 0.0072 0.0000
0.7206 0.0057 0.0000
0.7604 0.0079 0.0000
0.7700 0.0096 0.0000
0.7814 0.0129 0.0000
0.8572 0.0091 0.0000
0.8880 0.0039 0.0000
0.9205 0.0127 0.0000
0.9405 0.0070 0.0000
0.9445 0.0118 0.0000
0.9768 0.0057 0.0000
0.9887 0.0040 0.0000
0.9936 0.0093 0.0000
0.9960 0.0136 0.0000
0.9979 0.0095 0.0000
1.0069 0.0044 0.0000
1.0125 0.0073 0.0000
1.0400 0.0064 0.0000
1.0640 0.0074 0.0000
1.0893 0.0000 0.0113
1.1124 0.0156 0.0000
1.1146 0.0125 0.0000
1.1882 0.0070 0.0000
1.2081 0.0119 0.0000
1.2190 0.0063 0.0000
1.2275 0.0138 0.0000
1.3285 0.0103 0.0000
1.3567 0.0103 0.0000
1.3665 0.0149 0.0000
1.4349 0.0144 0.0000
1.6516 0.0127 0.0000
1.6690 0.0121 0.0195
1.6762 0.0137 0.0000
1.6770 0.0111 0.0000
1.6879 0.0067 0.0000
1.6892 0.0044 0.0000
1.7254 0.0074 0.0000
1.7890 0.0148 0.0000
1.7933 0.0000 0.0082
1.8071 0.0051 0.0000
1.8077 0.0064 0.0000
1.8089 0.0014 0.0000
1.8126 0.0019 0.0000
1.8230 0.0041 0.0000
1.8553 0.0039 0.0000
1.8578 0.0096 0.0000
1.8579 0.0099 0.0000
1.8777 0.0127 0.0000
1.9008 0.0106 0.0000
1.9029 0.0069 0.0000
2.0059 0.0177 0.0000
2.0545 0.0213 0.0000
2.0639 0.0021 0.0000
2.1086 0.0114 0.0000
2.1126 0.0028 0.0000
2.1136 0.0136 0.0000
2.1138 0.0113 0.0000
2.1454 0.0015 0.0000
2.1680 0.0000 0.0058
2.2125 0.0144 0.0000
2.2523 0.0069 0.0000
2.2539 0.0034 0.0000
2.2904 0.0109 0.0000
2.3212 0.0059 0.0000
2.4400 0.0126 0.0000
2.4751 0.0056 0.0000
2.4781 0.0056 0.0000
2.5054 0.0159 0.0000
2.5156 0.0131 0.0230
2.5362 0.0175 0.0000
2.5717 0.0025 0.0000
2.5985 0.0124 0.0000
2.6247 0.0091 0.0000
2.6401 0.0095 0.0000
2.6404 0.0148 0.0000
2.6591 0.0113 0.0000
2.6651 0.0111 0.0000
2.7267 0.0015 0.0000
2.7300 0.0075 0.0000
2.7305 0.0121 0.0000
2.7986 0.0128 0.0000
2.8255 0.0163 0.0000
2.8419 0.0228 0.0000
2.8615 0.0094 0.0000
2.8726 0.0157 0.0000
2.9365 0.0063 0.0000
2.9883 0.0043 0.0000
3.0964 0.0140 0.0000
3.1236 0.0086 0.0000
3.1355 0.0124 0.0000
3.1734 0.0000 0.0133
3.2071 0.0178 0.0000
3.2122 0.0140 0.0000
3.2296 0.0085 0.0000
3.2413 0.0138 0.0000
3.2763 0.0099 0.0000
3.3798 0.0159 0.0000
3.4155 0.0237 0.0000
3.4323 0.0083 0.0000
3.5154 0.0090 0.0000
3.5429 0.0164 0.0000
3.5577 0.0027 0.0000
3.5744 0.0124 0.0000
3.6262 0.0141 0.0000
3.6422 0.0179 0.0000
3.6948 0.0056 0.0000
3.7177 0.0076 0.0000
3.7598 0.0070 0.0000
3.7604 0.0000 0.0030
3.7794 0.0177 0.0000
3.8188 0.0015 0.0000
3.9818 0.0117 0.0000
4.0157 0.0163 0.0000
4.0730 0.0017 0.0000
4.0769 0.0088 0.0000
4.0969 0.0171 0.0000
4.1166 0.0092 0.0000
4.1226 0.0000 0.0066
4.1442 0.0030 0.0000
4.1530 0.0160 0.0000
4.1942 0.0090 0.0000
4.2101 0.0000 0.0073
4.2110 0.0151 0.0000
4.2197 0.0053 0.0000
4.2359 0.0000 0.0045
4.2492 0.0076 0.0000
4.3124 0.0000 0.0062
4.3322 0.0166 0.0000
4.3812 0.0085 0.0000
4.4097 0.0115 0.0000
4.4124 0.0034 0.0000
4.4329 0.0033 0.0000
4.4336 0.0020 0.0000
4.4640 0.0107 0.0000
4.4839 0.0116 0.0000
4.4951 0.0151 0.0000
4.5133 0.0105 0.0000
4.5426 0.0117 0.0000
4.6169 0.0064 0.0000
4.6213 0.0122 0.0000
4.6384 0.0084 0.0000
4.6680 0.0210 0.0000
4.7142 0.0130 0.0000
4.7172 0.0128 0.0000
4.7423 0.0017 0.0000
4.8256 0.0046 0.0000
4.8717 0.0035 0.0000
4.8801 0.0104 0.0000
4.9096 0.0055 0.0000
4.9167 0.0073 0.0000
4.9955 0.0215 0.0000
5.0554 0.0082 0.0000
5.0664 0.0103 0.0000
5.0803 0.0127 0.0000
5.0937 0.0093 0.0000
5.1103 0.0145 0.0000
5.1271 0.0086 0.0000
5.1558 0.0107 0.0000
5.1915 0.0015 0.0000
5.2333 0.0099 0.0000
5.2763 0.0182 0.0000
5.3463 0.0074 0.0000
5.3494 0.0052 0.0000
5.4180 0.0185 0.0000
5.4241 0.0031 0.0000
5.4311 0.0070 0.0000
5.5063 0.0047 0.0000
