
L = 0.07
0.3216 0.0196 0.0000
0.4342 0.0199 0.0000
0.4414 0.0166 0.0000
0.4597 0.0157 0.0000
0.4680 0.0224 0.0000
0.4803 0.0199 0.0000
0.4867 0.0124 0.0000
0.5417 0.0186 0.0000
0.5506 0.0196 0.0100
0.5523 0.0163 0.0000
0.5786 0.0156 0.0000
0.5920 0.0236 0.0000
0.6010 0.0099 0.0000
0.6479 0.0061 0.0000
0.6571 0.0125 0.0000
0.7275 0.0239 0.0000
0.7623 0.0139 0.0000
0.7717 0.0139 0.0000
0.7721 0.0220 0.0000
0.7736 0.0118 0.0000
0.7807 0.0265 0.0000
0.7818 0.0235 0.0000
0.8252 0.0100 0.0000
0.8287 0.0063 0.0000
0.8862 0.0118 0.0000
0.9064 0.0106 0.0000
0.9085 0.0183 0.0000
0.9185 0.0108 0.0000
0.9842 0.0179 0.0000
0.9850 0.0197 0.0000
1.0281 0.0134 0.0000
1.0506 0.0165 0.0000
1.0605 0.0165 0.0000
1.0707 0.0099 0.0000
1.0721 0.0201 0.0000
1.0782 0.0165 0.0000
1.1193 0.0209 0.0000
1.1408 0.0124 0.0000
1.1465 0.0148 0.0000
1.2489 0.0186 0.0000
1.3072 0.0175 0.0000
1.3657 0.0438 0.0000
1.3667 0.0149 0.0000
1.3705 0.0341 0.0000
1.3740 0.0079 0.0000
1.3748 0.0137 0.0000
1.3809 0.0168 0.0000
1.4338 0.0185 0.0000
1.5134 0.0000 0.0051
1.5572 0.0185 0.0000
1.5673 0.0192 0.0000
1.5752 0.0118 0.0000
1.6488 0.0288 0.0000
1.6591 0.0196 0.0000
1.6790 0.0120 0.0000
1.6989 0.0346 0.0000
1.7275 0.0175 0.0000
1.7334 0.0255 0.0000
1.8152 0.0181 0.0000
1.8164 0.0154 0.0000
1.8351 0.0225 0.0000
1.9764 0.0288 0.0000
1.9883 0.0182 0.0000
2.0061 0.0239 0.0000
2.0868 0.0123 0.0000
2.0992 0.0000 0.0210
2.1418 0.0159 0.0000
2.1722 0.0143 0.0000
2.2131 0.0102 0.0000
2.2156 0.0322 0.0000
2.2459 0.0210 0.0000
2.2493 0.0183 0.0000
2.3075 0.0167 0.0000
2.3192 0.0155 0.0000
2.3405 0.0244 0.0000
2.3942 0.0129 0.0000
2.4057 0.0327 0.0000
2.4412 0.0059 0.0000
2.5079 0.0198 0.0000
2.6381 0.0185 0.0000
2.7209 0.0154 0.0000
2.7429 0.0184 0.0000
2.8176 0.0165 0.0000
2.8466 0.0098 0.0000
2.8526 0.0193 0.0000
2.8718 0.0220 0.0000
2.8832 0.0177 0.0000
2.9002 0.0226 0.0000
2.9928 0.0112 0.0000
2.9938 0.0088 0.0000
3.0130 0.0294 0.0000
3.0782 0.0157 0.0083
3.0788 0.0188 0.0000
3.1441 0.0223 0.0000
3.1521 0.0142 0.0000
3.2599 0.0138 0.0000
3.2935 0.0098 0.0000
3.3310 0.0449 0.0000
3.3779 0.0137 0.0000
3.4150 0.0082 0.0000
3.5244 0.0134 0.0000
3.5386 0.0087 0.0000
3.5484 0.0256 0.0000
3.7284 0.0180 0.0000
3.7366 0.0380 0.0000
3.8218 0.0000 0.0096
3.8505 0.0113 0.0000
3.9236 0.0182 0.0000
4.2100 0.0208 0.0000
4.2118 0.0186 0.0000
4.3676 0.0169 0.0000
4.3711 0.0071 0.0000
4.3716 0.0000 0.0045
4.3792 0.0105 0.0000
4.3832 0.0147 0.0000
4.4026 0.0116 0.0000
4.4241 0.0198 0.0000
4.4255 0.0256 0.0000
4.4393 0.0140 0.0000
4.4584 0.0114 0.0000
4.4604 0.0349 0.0000
4.4887 0.0208 0.0000
4.5162 0.0229 0.0000
4.5277 0.0138 0.0000
4.5970 0.0046 0.0000
4.6230 0.0272 0.0000
4.6814 0.0071 0.0000
4.7231 0.0318 0.0000
4.7473 0.0356 0.0000
4.7733 0.0000 0.0086
4.8393 0.0044 0.0000
4.9891 0.0101 0.0000
5.1245 0.0149 0.0000
5.1254 0.0000 0.0112
5.1590 0.0121 0.0000
5.2450 0.0176 0.0000
5.2739 0.0202 0.0000
5.2961 0.0395 0.0000
5.3110 0.0234 0.0000
5.3330 0.0281 0.0000
5.3435 0.0000 0.0072
5.3438 0.0132 0.0000
5.4134 0.0204 0.0000
5.4426 0.0113 0.0000
5.4678 0.0029 0.0000
5.5380 0.0187 0.0000
5.5383 0.0000 0.0058
5.5918 0.0271 0.0000
5.7219 0.0091 0.0000
5.8627 0.0128 0.0000
5.9330 0.0267 0.0000
6.0229 0.0208 0.0000
6.0251 0.0202 0.0000
6.0283 0.0104 0.0000
6.0475 0.0177 0.0000
6.1380 0.0000 0.0108
6.2285 0.0260 0.0000
6.2526 0.0182 0.0000
6.3197 0.0094 0.0000
6.3569 0.0359 0.0000
6.4091 0.0325 0.0000
6.4635 0.0231 0.0000
6.5194 0.0174 0.0000
6.5245 0.0210 0.0000
6.5682 0.0000 0.0354
6.5908 0.0000 0.0333
6.6218 0.0000 0.0056
6.6475 0.0063 0.0000
6.6488 0.0109 0.0000
6.7398 0.0066 0.0000
6.7422 0.0064 0.0000
6.7793 0.0153 0.0000
6.7955 0.0000 0.0447
6.8216 0.0150 0.0000
6.8821 0.0037 0.0000
6.9200 0.0000 0.0135
6.9209 0.0414 0.0000
6.9623 0.0281 0.0000
6.9717 0.0127 0.0000
6.9906 0.0000 0.0182
6.9914 0.0000 0.0100
7.1173 0.0042 0.0000
7.1572 0.0048 0.0000
7.1925 0.0090 0.0000
7.3029 0.0221 0.0000
7.3185 0.0000 0.0182
7.3342 0.0000 0.0142
7.3639 0.0000 0.0313
7.4108 0.0109 0.0000
7.4123 0.0219 0.0000
7.5052 0.0000 0.0066
7.5099 0.0000 0.0401
7.5143 0.0078 0.0000
7.5569 0.0000 0.0383
7.6140 0.0090 0.0000
7.7595 0.0154 0.0007
7.8811 0.0000 0.0248
7.8954 0.0199 0.0000
7.8976 0.0000 0.0300
7.9043 0.0180 0.0000
7.9312 0.0187 0.0000
8.0416 0.0034 0.0000
8.0417 0.0239 0.0000
8.1349 0.0064 0.0000
8.1916 0.0000 0.0269
8.2025 0.0000 0.0226
8.2119 0.0260 0.0000
8.2550 0.0109 0.0000
8.2744 0.0303 0.0000
8.3444 0.0095 0.0000
8.3789 0.0083 0.0000
8.3808 0.0134 0.0000
8.3846 0.0000 0.0251
8.4016 0.0190 0.0000
8.4431 0.0000 0.0166
8.5498 0.0102 0.0000
8.5767 0.0049 0.0000
8.5927 0.0000 0.0127
8.6206 0.0203 0.0000
8.6997 0.0265 0.0000
8.7398 0.0091 0.0000
8.7447 0.0000 0.0352
8.8078 0.0000 0.0224
8.8110 0.0038 0.0000
8.8815 0.0028 0.0000
8.9011 0.0117 0.0000
8.9040 0.0205 0.0000
8.9183 0.0000 0.0386
8.9636 0.0000 0.0343
9.1261 0.0000 0.0149
9.1638 0.0079 0.0000
9.2173 0.0125 0.0000
9.2200 0.0259 0.0000
9.2270 0.0154 0.0000
9.2289 0.0044 0.0000
9.2703 0.0119 0.0000
9.2889 0.0171 0.0000
9.3751 0.0249 0.0000
9.3761 0.0050 0.0000
9.4052 0.0049 0.0000
9.5409 0.0024 0.0000
9.5592 0.0298 0.0000
9.5796 0.0000 0.0361
9.6066 0.0104 0.0000
9.6124 0.0088 0.0000
9.6277 0.0126 0.0000
9.6371 0.0066 0.0000
9.6373 0.0287 0.0000
9.6587 0.0000 0.0368
9.6632 0.0249 0.0000
9.7894 0.0104 0.0000
9.8790 0.0071 0.0000
9.8960 0.0000 0.0058
9.9047 0.0000 0.0182
9.9409 0.0000 0.0305
9.9765 0.0000 0.0152
10.0134 0.0168 0.0000
10.1517 0.0090 0.0000
10.1781 0.0000 0.0314
10.2972 0.0107 0.0000
10.3407 0.0292 0.0000
10.3974 0.0104 0.0000
10.4131 0.0000 0.0148
10.4385 0.0000 0.0338
10.4801 0.0000 0.0141
10.6318 0.0000 0.0121
10.6613 0.0000 0.0307
10.8016 0.0000 0.0194
10.8139 0.0000 0.0316
10.8256 0.0000 0.0343
10.8325 0.0096 0.0000
10.8604 0.0237 0.0000
10.9591 0.0000 0.0330
10.9592 0.0014 0.0000
10.9745 0.0255 0.0000
11.0177 0.0020 0.0000
11.0384 0.0000 0.0019
11.0709 0.0000 0.0159
11.0763 0.0063 0.0000
11.1061 0.0000 0.0240
11.1998 0.0000 0.0092
11.2539 0.0000 0.0246
11.3471 0.0000 0.0112
11.3556 0.0000 0.0299
11.4648 0.0116 0.0000
11.6047 0.0000 0.0175
11.6613 0.0000 0.0210
11.6974 0.0154 0.0000
11.7050 0.0095 0.0000
11.7076 0.0000 0.0168
11.7395 0.0095 0.0000
11.7649 0.0083 0.0000
11.7695 0.0184 0.0000
11.8548 0.0000 0.0145
11.8626 0.0076 0.0000
11.8704 0.0135 0.0000
11.9016 0.0000 0.0046
11.9017 0.0000 0.0192
11.9326 0.0176 0.0000
11.9580 0.0000 0.0080
11.9603 0.0000 0.0146
12.0180 0.0000 0.0133
12.0399 0.0135 0.0000
12.0414 0.0000 0.0204
12.0479 0.0000 0.0150
12.0518 0.0000 0.0026
12.1238 0.0234 0.0000
12.1612 0.0119 0.0000
12.1917 0.0000 0.0208
12.2419 0.0155 0.0000
12.2595 0.0000 0.0228
12.2909 0.0092 0.0000
12.2956 0.0000 0.0262
12.3252 0.0000 0.0236
12.3685 0.0000 0.0080
12.3746 0.0147 0.0000
12.4529 0.0000 0.0043
12.4607 0.0055 0.0000
12.4630 0.0000 0.0498
12.4665 0.0023 0.0000
12.4961 0.0106 0.0000
12.5492 0.0000 0.0091
12.5717 0.0214 0.0000
12.5779 0.0000 0.0157
12.5877 0.0000 0.0397
12.6090 0.0043 0.0000
12.6761 0.0147 0.0000
12.7622 0.0000 0.0223
12.7725 0.0000 0.0180
12.7756 0.0215 0.0000
12.7835 0.0000 0.0140
12.7845 0.0000 0.0103
12.7954 0.0000 0.0477
12.9261 0.0000 0.0055
13.0122 0.0086 0.0000
13.0588 0.0226 0.0000
13.0750 0.0000 0.0175
13.0825 0.0163 0.0025
13.0962 0.0000 0.0227
13.1880 0.0000 0.0089
13.2157 0.0000 0.0362
13.2843 0.0000 0.0241
13.2871 0.0049 0.0000
13.2935 0.0000 0.0329
13.3269 0.0235 0.0000
13.3289 0.0191 0.0000
13.4508 0.0000 0.0188
13.4720 0.0000 0.0469
13.5043 0.0156 0.0000
13.5070 0.0209 0.0000
13.5286 0.0124 0.0000
13.5404 0.0130 0.0000
13.5409 0.0000 0.0231
13.6054 0.0000 0.0140
13.6532 0.0000 0.0134
13.7531 0.0000 0.0124
13.7827 0.0000 0.0155
13.8746 0.0044 0.0000
13.9044 0.0000 0.0216
13.9356 0.0000 0.0295
13.9550 0.0000 0.0254
13.9572 0.0000 0.0120
13.9760 0.0000 0.0017
14.0103 0.0000 0.0315
14.0161 0.0000 0.0135
14.0421 0.0000 0.0288
14.0568 0.0000 0.0123
14.0570 0.0150 0.0000
14.0618 0.0000 0.0253
14.0889 0.0000 0.0182
14.1081 0.0000 0.0224
14.1151 0.0000 0.0369
14.1507 0.0058 0.0000
14.1626 0.0211 0.0000
14.1837 0.0254 0.0000
14.2176 0.0000 0.0022
14.2372 0.0000 0.0320
14.3112 0.0000 0.0350
14.3139 0.0066 0.0000
14.3423 0.0159 0.0000
14.4400 0.0127 0.0000
14.4603 0.0000 0.0428
14.4702 0.0110 0.0000
14.5173 0.0000 0.0359
14.5223 0.0104 0.0034
14.5269 0.0000 0.0142
14.5480 0.0000 0.0196
14.5484 0.0000 0.0240
14.6693 0.0102 0.0000
14.7762 0.0000 0.0147
14.7927 0.0232 0.0000
14.8753 0.0091 0.0000
14.8767 0.0000 0.0200
14.9134 0.0000 0.0030
15.0551 0.0000 0.0176
15.0692 0.0000 0.0193
15.0712 0.0073 0.0000
15.1213 0.0094 0.0000
15.1288 0.0074 0.0000
15.1418 0.0244 0.0000
15.1857 0.0119 0.0000
15.2295 0.0202 0.0000
15.2749 0.0000 0.0425
15.3072 0.0073 0.0000
15.3113 0.0000 0.0087
15.3132 0.0199 0.0000
15.3163 0.0192 0.0000
15.3173 0.0000 0.0042
15.3173 0.0000 0.0277
15.3404 0.0000 0.0287
15.4301 0.0161 0.0000
15.4766 0.0143 0.0000
15.4822 0.0000 0.0195
15.6066 0.0000 0.0175
15.6222 0.0218 0.0000
15.6227 0.0000 0.0205
15.6318 0.0000 0.0117
15.6385 0.0000 0.0159
15.6622 0.0025 0.0000
15.8115 0.0000 0.0119
15.9233 0.0000 0.0145
15.9763 0.0080 0.0000
15.9839 0.0000 0.0229
15.9971 0.0211 0.0000
16.0669 0.0043 0.0000
16.0891 0.0157 0.0000
16.1014 0.0000 0.0422
16.1062 0.0000 0.0286
16.1338 0.0000 0.0174
16.1837 0.0000 0.0249
16.3144 0.0000 0.0343
16.3314 0.0285 0.0000
16.3934 0.0000 0.0051
16.5153 0.0000 0.0446
16.5641 0.0000 0.0328
16.7140 0.0000 0.0189
16.7338 0.0000 0.0222
16.7789 0.0000 0.0303
16.8279 0.0000 0.0315
16.8995 0.0042 0.0000
